model,strategy,language,category,n_samples,accuracy,self_judgment_agreement,avg_reason_length,median_reason_length
Qwen/Qwen2-7B-Instruct,few_shot,en,C,175,0.5314285714285715,0.5657142857142857,44.674285714285716,35.0
Qwen/Qwen2-7B-Instruct,few_shot,en,L,94,0.5638297872340425,0.6276595744680851,47.223404255319146,33.5
Qwen/Qwen2-7B-Instruct,few_shot,en,Q,66,0.3939393939393939,0.4696969696969697,55.121212121212125,39.5
Qwen/Qwen2-7B-Instruct,few_shot,zh,C,175,0.7828571428571428,0.7885714285714286,33.325714285714284,32.0
Qwen/Qwen2-7B-Instruct,few_shot,zh,L,94,0.7553191489361702,0.8191489361702128,38.01063829787234,35.5
Qwen/Qwen2-7B-Instruct,few_shot,zh,Q,66,0.6515151515151515,0.696969696969697,51.03030303030303,37.5
Qwen/Qwen2-7B-Instruct,few_shot_cot,en,C,175,0.5371428571428571,0.6,47.70285714285714,36.0
Qwen/Qwen2-7B-Instruct,few_shot_cot,en,L,94,0.48936170212765956,0.5638297872340425,47.180851063829785,36.0
Qwen/Qwen2-7B-Instruct,few_shot_cot,en,Q,66,0.3484848484848485,0.42424242424242425,51.46969696969697,41.0
Qwen/Qwen2-7B-Instruct,few_shot_cot,zh,C,175,0.7885714285714286,0.8057142857142857,33.12571428571429,32.0
Qwen/Qwen2-7B-Instruct,few_shot_cot,zh,L,94,0.648936170212766,0.7553191489361702,36.734042553191486,32.5
Qwen/Qwen2-7B-Instruct,few_shot_cot,zh,Q,66,0.5757575757575758,0.6363636363636364,43.34848484848485,36.5
Qwen/Qwen2-7B-Instruct,zero_shot,en,C,175,0.5542857142857143,0.5428571428571428,38.457142857142856,31.0
Qwen/Qwen2-7B-Instruct,zero_shot,en,L,94,0.5851063829787234,0.5851063829787234,43.287234042553195,35.0
Qwen/Qwen2-7B-Instruct,zero_shot,en,Q,66,0.3939393939393939,0.4090909090909091,45.303030303030305,33.0
Qwen/Qwen2-7B-Instruct,zero_shot,zh,C,175,0.8114285714285714,0.8114285714285714,33.89142857142857,32.0
Qwen/Qwen2-7B-Instruct,zero_shot,zh,L,94,0.6914893617021277,0.723404255319149,38.48936170212766,33.5
Qwen/Qwen2-7B-Instruct,zero_shot,zh,Q,66,0.696969696969697,0.7121212121212122,45.07575757575758,33.0
Qwen/Qwen2-7B-Instruct,zero_shot_cot,en,C,175,0.5314285714285715,0.56,52.68571428571428,40.0
Qwen/Qwen2-7B-Instruct,zero_shot_cot,en,L,94,0.6063829787234043,0.648936170212766,55.08510638297872,46.0
Qwen/Qwen2-7B-Instruct,zero_shot_cot,en,Q,66,0.36363636363636365,0.42424242424242425,55.27272727272727,42.5
Qwen/Qwen2-7B-Instruct,zero_shot_cot,zh,C,175,0.8,0.8,39.94857142857143,36.0
Qwen/Qwen2-7B-Instruct,zero_shot_cot,zh,L,94,0.6808510638297872,0.7446808510638298,46.691489361702125,36.5
Qwen/Qwen2-7B-Instruct,zero_shot_cot,zh,Q,66,0.6818181818181818,0.696969696969697,54.22727272727273,42.5
